"Question","Answer"
"Move x: x^2 + R = Sx^3","x^2 + R - Sx^3 = 0"
"Move y: T^2y = U + y^2","T^2y - y^2 = U"
"Move z: z^3 + V = Wz","z^3 + V - Wz = 0"
"Move x: X^2 - x^2 = Yx","X^2 - x^2 - Yx = 0"
"Move y: Zy^3 = A^2 + y^2","Zy^3 - y^2 = A^2"
"Move z: Bz = C^3 + z^3","Bz - z^3 = C^3"
"Move x: x^3 + D^2 = Ex","x^3 + D^2 - Ex = 0"
"Move y: Fy^2 = y^3 + G","Fy^2 - y^3 = G"
"Move z: z^2 + H = Iz^3","z^2 + H - Iz^3 = 0"
"Move x: x^3 - J = Kx^2","x^3 - J - Kx^2 = 0"
"Move y: L^2 = My + y^3","L^2 - My - y^3 = 0"
"Move z: Nz^2 = O^3 + z^3","Nz^2 - z^3 = O^3"
"Move x: Px = x^2 + Q","Px - x^2 = Q"
"Move y: Ry^3 = S + y^2","Ry^3 - y^2 = S"
"Move z: Tz = Uz^2 + V","Tz - Uz^2 = V"
"Move x: Wx^3 = x + X^2","Wx^3 - x = X^2"
"Move y: Yy = Zy^2 + A^2","Yy - Zy^2 = A^2"
"Move z: z^3 + B = Cz","z^3 + B - Cz = 0"
"Move x: Dx^2 = Ex^3 + F","Dx^2 - Ex^3 = F"
"Move y: G^2 = Hy + y^3","G^2 - Hy - y^3 = 0"
"Move z: Iz = Jz^2 + K","Iz - Jz^2 = K"
"Move x: L^3 = x + Mx^2","L^3 - x - Mx^2 = 0"
"Move y: Ny = Oy^3 + P","Ny - Oy^3 = P"
"Move z: Qz^2 = z + R^2","Qz^2 - z = R^2"
"Move x: Sx^3 = Tx^2 + U","Sx^3 - Tx^2 = U"
"Move y: Vy = y^2 + W^2","Vy - y^2 = W^2"
"Move z: z^3 + X = Yz^2","z^3 + X - Yz^2 = 0"
"Move x: Zx = Ax^2 + B^2","Zx - Ax^2 = B^2"
"Move y: Cy^3 = Dy + E","Cy^3 - Dy = E"
"Move z: Fz = Gz^2 + H^2","Fz - Gz^2 = H^2"
"Move x: Ix^2 = Jx^3 + K","Ix^2 - Jx^3 = K"
"Move y: Ly = My^2 + N^2","Ly - My^2 = N^2"
"Move z: Oz^3 = P + z^2","Oz^3 - z^2 = P"
"Move x: Qx = Rx^2 + S^2","Qx - Rx^2 = S^2"
"Move y: Ty^3 = Uy + V","Ty^3 - Uy = V"
"Move z: Wz = Xz^3 + Y^2","Wz - Xz^3 = Y^2"
"Move x: x^2 + Z = Ax^3","x^2 + Z - Ax^3 = 0"
"Move y: By^2 = Cy^3 + D","By^2 - Cy^3 = D"
"Move z: Ez^3 = Fz + G^3","Ez^3 - Fz = G^3"
"Move x: Hx^2 = x^3 + I^2","Hx^2 - x^3 = I^2"
"Move y: Jy = Ky^3 + L","Jy - Ky^3 = L"
"Move z: M^2 = Nz^2 + z^3","M^2 - Nz^2 - z^3 = 0"
"Move x: Ox^3 = Px^2 + Q^2","Ox^3 - Px^2 = Q^2"
"Move y: Ry^2 = Sy^3 + T","Ry^2 - Sy^3 = T"
"Move z: Uz^3 = V + z^2","Uz^3 - z^2 = V"
"Move x: Wx^2 = Xx + Y^3","Wx^2 - Xx = Y^3"
"Move y: Zy = Ay^3 + B^2","Zy - Ay^3 = B^2"
"Move z: Cz^2 = Dz^3 + E","Cz^2 - Dz^3 = E"
"Move x: Fx^3 = Gx^2 + H^2","Fx^3 - Gx^2 = H^2"
"Move y: Iy = Jy^3 + K","Iy - Jy^3 = K"
"Move z: Lz^2 = M^3 + z^3","Lz^2 - z^3 = M^3"
"Move x: Nx = Ox^3 + P^2","Nx - Ox^3 = P^2"
"Move y: Qy^2 = Ry^3 + S","Qy^2 - Ry^3 = S"
"Move z: Tz^3 = Uz + V^3","Tz^3 - Uz = V^3"
"Move x: W^2 = Xx^2 + x^3","W^2 - Xx^2 - x^3 = 0"
"Move y: Yy^3 = Zy^2 + A^2","Yy^3 - Zy^2 = A^2"
"Move z: B^3 = Cz + z^3","B^3 - Cz - z^3 = 0"
"Move x: Dx^2 = Ex + Fx^3","Dx^2 - Ex - Fx^3 = 0"
"Move y: Gy^3 = Hy + Iy^2","Gy^3 - Hy - Iy^2 = 0"
"Move z: Jz = Kz^3 + L^3","Jz - Kz^3 = L^3"
"Move x: Mx^3 = Nx^2 + O","Mx^3 - Nx^2 = O"
"Move y: Py = Q^2 + y^3","Py - y^3 = Q^2"
"Move z: Rz^2 = Sz^3 + T","Rz^2 - Sz^3 = T"
"Move x: Ux = V^3 + x^3","Ux - x^3 = V^3"
"Move y: Wy = Xy^2 + Y^2","Wy - Xy^2 = Y^2"
"Move z: z + Z^2 = Az^3","z + Z^2 - Az^3 = 0"
"Move x: Ba^3 = x^3 + Cx^2","Ba^3 - Cx^2 = x^3"
"Move y: y^2 + D^3 = Ey^4","y^2 + D^3 = Ey^4"
"Move z: z^5 + F = Gz^4","z^5 + F - Gz^4 = 0"
"Move x: Hx^4 = Ix + Jx^3","Hx^4 - Jx^3 = Ix"
"Move y: Ky^5 = Ly^2 + M","Ky^5 - Ly^2 = M"
"Move z: Nz^4 = Oz + Pz^3","Nz^4 - Pz^3 = Oz"
"Move x: Qx^3 = Rx + Sx^5","Qx^3 - Rx = Sx^5"
"Move y: Ty^2 = Uy^4 + V","Ty^2 - Uy^4 = V"
"Move z: Wz^3 = Xz + Yz^5","Wz^3 - Yz^5 = Xz"
"Move x: Zx^4 = Ax + B^3","Zx^4 - Ax = B^3"
"Move y: Cy^5 = Dy^2 + E^2","Cy^5 - Dy^2 = E^2"
"Move z: Fz = Gz^3 + Hz^4","Fz - Gz^3 = Hz^4"
"Move x: Ix^5 = Jx + Kx^4","Ix^5 - Kx^4 = Jx"
"Move y: Ly^3 = My + Ny^5","Ly^3 - My = Ny^5"
"Move z: Oz^2 = Pz + Qz^4","Oz^2 - Qz^4 = Pz"
"Move x: Rx^4 = Sx + Tx^3","Rx^4 - Tx^3 = Sx"
"Move y: Uy^5 = Vy^3 + W","Uy^5 - Vy^3 = W"
"Move z: Xz^4 = Yz + Zz^5","Xz^4 - Zz^5 = Yz"
"Move x: Ax^5 = Bx + Cx^2","Ax^5 - Bx = Cx^2"
"Move y: Dy^4 = Ey^5 + F^2","Dy^4 - Ey^5 = F^2"
"Move z: Gz^2 = Hz^4 + Iz^3","Gz^2 - Hz^4 = Iz^3"
"Move x: Jx^5 = Kx + Lx^4","Jx^5 - Lx^4 = Kx"
"Move y: My^3 = Ny + Oy^5","My^3 - Ny = Oy^5"
"Move z: Pz^4 = Qz + Rz^3","Pz^4 - Rz^3 = Qz"
"Move x: Sx^2 = Tx + Ux^5","Sx^2 - Tx = Ux^5"
"Move y: Vy^5 = Wy + Xy^4","Vy^5 - Xy^4 = Wy"
"Move z: Yz^3 = Zz^5 + Az^2","Yz^3 - Zz^5 = Az^2"
"Move x: Bx^4 = Cx + Dx^3","Bx^4 - Dx^3 = Cx"
"Move y: Ey^2 = Fy^5 + Gy^3","Ey^2 - Fy^5 = Gy^3"
"Move z: Hz^4 = Iz + Jz^5","Hz^4 - Jz^5 = Iz"
"Move x: Kx^3 = Lx^2 + Mx^5","Kx^3 - Lx^2 = Mx^5"
"Move y: Ny^4 = Oy + Py^5","Ny^4 - Oy = Py^5"
"Move z: Qz^2 = Rz^4 + Sz^3","Qz^2 - Rz^4 = Sz^3"
"Move x: Tx^4 = Ux + Vx^2","Tx^4 - Ux = Vx^2"
"Move y: Wy^5 = Xy + Yy^3","Wy^5 - Xy = Yy^3"
"Move z: Zz^3 = Az^5 + Bz^4","Zz^3 - Az^5 = B"
"Move x: Ax^2 = Bx + Cx^3","Ax^2 - Bx = Cx^3"
"Move y: Dy^3 = Ey + Fy^4","Dy^3 - Ey = Fy^4"
"Move z: Gz^4 = Hz + Iz^2","Gz^4 - Hz = Iz^2"
"Move x: Jx^5 = Kx + Lx^3","Jx^5 - Kx = Lx^3"
"Move y: My^2 = Ny + Oy^5","My^2 - Ny = Oy^5"
"Move z: Pz^3 = Qz + Rz^4","Pz^3 - Qz = Rz^4"
"Move x: Sx^4 = Tx + Ux^5","Sx^4 - Tx = Ux^5"
"Move y: Vy^3 = Wy + Xy^2","Vy^3 - Wy = Xy^2"
"Move z: Yz^5 = Zz + Az^3","Yz^5 - Zz = Az^3"
"Move x: Bx^2 = Cx + Dx^4","Bx^2 - Cx = Dx^4"
"Move y: Ey^4 = Fy + Gy^5","Ey^4 - Fy = Gy^5"
"Move z: Hz^2 = Iz + Jz^3","Hz^2 - Iz = Jz^3"
"Move x: Kx^3 = Lx + Mx^2","Kx^3 - Lx = Mx^2"
"Move y: Ny^5 = Oy + Py^4","Ny^5 - Oy = Py^4"
"Move z: Qz^3 = Rz + Sz^5","Qz^3 - Rz = Sz^5"
"Move x: Tx^5 = Ux + Vx^4","Tx^5 - Ux = Vx^4"
"Move y: Wy^2 = Xy + Yy^3","Wy^2 - Xy = Yy^3"
"Move z: Zz^4 = Az + Bz^2","Zz^4 - Az = Bz^2"
"Move x: Cx^2 = Dx + Ex^5","Cx^2 - Dx = Ex^5"
"Move y: Fy^3 = Gy + Hy^2","Fy^3 - Gy = Hy^2"
"Move z: Iz^5 = Jz + Kz^4","Iz^5 - Jz = Kz^4"
"Move x: Lx^4 = Mx + Nx^3","Lx^4 - Mx = Nx^3"
"Move y: Oy^5 = Py + Qy^2","Oy^5 - Py = Qy^2"
"Move z: Rz^3 = Sz + Tz^5","Rz^3 - Sz = Tz^5"
"Move x: Ux^2 = Vx + Wx^4","Ux^2 - Vx = Wx^4"
"Move y: Xy^4 = Yy + Zy^5","Xy^4 - Yy = Zy^5"
"Move z: Az^5 = Bz + Cz^3","Az^5 - Bz = Cz^3"
"Move x: Dx^3 = Ex + Fx^2","Dx^3 - Ex = Fx^2"
"Move y: Gy^2 = Hy + Iy^4","Gy^2 - Hy = Iy^4"
"Move z: Jz^4 = Kz + Lz^5","Jz^4 - Kz = Lz^5"
"Move x: Mx^5 = Nx + Ox^3","Mx^5 - Nx = Ox^3"
"Move y: Py^3 = Qy + Ry^2","Py^3 - Qy = Ry^2"
"Move z: Sz^2 = Tz + Uz^4","Sz^2 - Tz = Uz^4"
"Move x: Vx^4 = Wx + Xx^5","Vx^4 - Wx = Xx^5"
"Move y: Yy^5 = Zy + Ay^3","Yy^5 - Zy = Ay^3"
"Move z: Bz^3 = Cz + Dz^2","Bz^3 - Cz = Dz^2"
"Move x: Ex^5 = Fx + Gx^4","Ex^5 - Fx = Gx^4"
"Move y: Hy^2 = Iy + Jy^3","Hy^2 - Iy = Jy^3"
"Move z: Kz^4 = Lz + Mz^5","Kz^4 - Lz = Mz^5"
"Move x: Nx^3 = Ox + Px^2","Nx^3 - Ox = Px^2"
"Move y: Qy^4 = Ry + Sy^5","Qy^4 - Ry = Sy^5"
"Move z: Tz^5 = Uz + Vz^3","Tz^5 - Uz = Vz^3"
"Move x: Wx^2 = Xx + Yx^4","Wx^2 - Xx = Yx^4"
"Move y: Zy^3 = Ay + Bz^5","Zy^3 - Ay = Bz^5"
"Move z: Cz^4 = Dz + Ez^2","Cz^4 - Dz = Ez^2"
"Move x: Fx^5 = Gx + Hx^3","Fx^5 - Gx = Hx^3"
"Move y: Iy^2 = Jy + Ky^4","Iy^2 - Jy = Ky^4"
"Move z: Lz^3 = Mz + Nz^5","Lz^3 - Mz = Nz^5"
"Move x: Ox^4 = Px + Qx^2","Ox^4 - Px = Qx^2"
"Move y: Ry^5 = Sy + Ty^3","Ry^5 - Sy = Ty"
